"Semana epidem. notificação";"Ign/Branco";"Analfabeto";"1ª a 4ª série incompleta do EF";"4ª série completa do EF";"5ª a 8ª série incompleta do EF";"Ensino fundamental completo";"Ensino médio incompleto";"Ensino médio completo";"Educação superior incompleta";"Educação superior completa";"Não se aplica";"Total"
"Semana 01";72;-;-;2;4;3;2;3;4;6;4;100
"Semana 02";106;-;2;1;5;-;2;6;2;6;7;137
"Semana 03";95;-;5;3;5;2;5;6;1;6;13;141
"Semana 04";131;-;5;1;6;5;3;17;1;7;7;183
"Semana 05";201;1;5;-;11;9;12;26;8;10;17;300
"Semana 06";302;1;5;2;10;11;5;26;10;12;24;408
"Semana 07";309;-;6;5;20;15;18;36;10;14;30;463
"Semana 08";430;1;11;15;32;18;21;54;7;22;27;638
"Semana 09";462;3;18;10;33;25;30;63;7;16;58;725
"Semana 10";385;2;7;5;25;8;27;60;16;17;30;582
"Semana 11";566;6;20;8;52;24;42;77;28;22;52;897
"Semana 12";742;1;31;18;70;23;74;130;17;38;75;1219
"Semana 13";814;10;31;22;88;43;73;157;30;46;85;1399
"Semana 14";938;5;30;24;82;50;73;154;29;51;110;1546
"Semana 15";864;14;44;21;106;53;86;161;39;53;80;1521
"Semana 16";708;4;26;22;54;27;58;123;35;31;63;1151
"Semana 17";1144;11;38;30;99;46;92;199;39;53;116;1867
"Semana 18";1285;6;47;27;73;40;82;148;31;51;127;1917
"Semana 19";1188;8;39;23;84;43;80;136;43;47;115;1806
"Semana 20";1530;9;41;24;106;52;75;163;45;52;129;2226
"Semana 21";1818;9;50;37;127;61;120;241;70;91;159;2783
"Semana 22";2286;14;86;38;198;71;135;308;84;148;226;3594
"Semana 23";2206;15;36;30;107;58;110;222;56;107;205;3152
"Semana 24";1744;5;33;23;73;45;72;161;50;86;209;2501
"Semana 25";1163;2;23;7;31;30;49;91;28;44;150;1618
"Semana 26";772;3;14;9;27;15;25;73;21;47;123;1129
"Semana 27";646;2;17;5;25;7;21;43;12;13;73;864
"Semana 28";372;-;4;4;7;1;8;16;4;6;53;475
"Semana 29";284;-;7;2;6;3;4;14;3;9;39;371
"Semana 30";166;1;-;-;6;1;2;7;-;4;20;207
"Semana 31";169;-;2;1;4;-;5;6;2;3;17;209
"Semana 32";119;-;2;1;2;2;3;6;1;4;14;154
"Semana 33";124;-;-;2;2;2;3;4;-;3;13;153
"Semana 34";89;-;-;-;2;-;2;2;1;3;17;116
"Semana 35";66;-;3;-;2;-;2;5;1;3;10;92
"Semana 36";72;-;1;-;-;1;1;3;2;-;17;97
"Semana 37";74;-;-;-;3;1;2;4;-;-;12;96
"Semana 38";77;-;2;1;1;1;1;-;1;-;16;100
"Semana 39";80;-;2;1;-;-;-;-;1;1;15;100
"Semana 40";96;1;-;1;2;1;2;9;-;2;20;134
"Semana 41";103;-;4;-;1;-;1;1;2;4;25;141
"Semana 42";79;-;2;-;1;-;1;4;1;3;22;113
"Semana 43";75;-;1;-;1;1;2;6;1;2;15;104
"Semana 44";76;1;2;-;1;1;-;4;2;1;29;117
"Semana 45";97;-;1;1;4;-;1;4;1;3;16;128
"Semana 46";78;-;-;-;-;-;-;3;1;2;21;105
"Semana 47";102;-;2;2;-;1;1;1;1;2;29;141
"Semana 48";84;-;1;-;3;2;2;3;-;7;16;118
"Semana 49";80;-;1;-;1;1;-;4;3;2;21;113
"Semana 50";100;-;-;1;-;-;2;5;2;4;18;132
"Semana 51";140;-;-;-;5;-;5;8;1;6;18;183
"Semana 52";95;-;-;-;-;2;1;4;1;4;12;119
