"Semana epidem. 1º Sintomas(s)";"Em branco/IGN";"<1 Ano";"1-4";"5-9";"10-14";"15-19";"20-39";"40-59";"60-64";"65-69";"70-79";"80 e +";"Total"
"Semana 01";-;3;6;5;3;3;13;7;-;-;2;-;42
"Semana 02";-;8;7;4;1;2;16;11;-;-;1;-;50
"Semana 03";-;2;5;7;7;4;23;11;-;-;2;2;63
"Semana 04";-;7;2;3;1;6;13;9;-;-;-;-;41
"Semana 05";-;7;4;5;3;6;12;5;2;2;2;-;48
"Semana 06";-;4;7;3;3;6;16;13;1;1;3;-;57
"Semana 07";-;6;4;5;3;5;23;9;-;-;-;-;55
"Semana 08";-;4;3;7;3;3;12;10;1;-;2;-;45
"Semana 09";-;3;7;8;4;3;20;8;-;-;-;-;53
"Semana 10";-;2;3;3;8;4;13;12;2;1;1;-;49
"Semana 11";-;4;6;2;2;5;24;14;2;-;-;-;59
"Semana 12";-;2;5;4;1;5;20;10;-;2;-;1;50
"Semana 13";-;3;6;6;2;4;24;11;1;-;-;1;58
"Semana 14";-;-;3;5;5;8;27;12;4;-;2;-;66
"Semana 15";-;2;4;4;4;10;32;18;4;1;1;1;81
"Semana 16";-;-;-;7;5;6;33;11;1;2;1;-;66
"Semana 17";-;2;-;2;1;10;28;11;1;-;-;-;55
"Semana 18";-;2;2;5;8;2;15;16;-;4;3;1;58
"Semana 19";-;2;4;13;7;10;36;20;3;3;-;1;99
"Semana 20";-;4;1;7;7;7;31;14;2;1;-;1;75
"Semana 21";-;-;3;2;4;1;23;7;2;-;2;1;45
"Semana 22";-;1;3;2;1;3;23;15;2;1;2;-;53
"Semana 23";-;-;2;5;1;4;21;5;-;1;-;-;39
"Semana 24";-;1;1;2;5;2;17;13;2;2;1;-;46
"Semana 25";-;1;2;1;5;4;22;11;-;-;1;-;47
"Semana 26";-;1;-;2;4;4;14;9;3;1;1;-;39
"Semana 27";-;1;2;3;2;1;10;6;-;1;1;-;27
"Semana 28";1;1;3;2;1;1;14;6;2;-;-;-;31
"Semana 29";-;-;2;3;2;1;8;5;2;-;-;-;23
"Semana 30";-;-;2;-;1;-;14;6;-;-;1;-;24
"Semana 31";-;-;1;3;2;3;9;4;1;-;-;-;23
"Semana 32";-;1;1;2;1;-;3;4;-;-;1;-;13
"Semana 33";-;-;3;-;-;1;7;2;-;-;2;-;15
"Semana 34";-;-;-;2;-;3;10;4;-;1;-;-;20
"Semana 35";-;1;-;2;1;3;7;1;1;-;1;-;17
"Semana 36";-;2;2;3;1;3;6;3;-;-;-;-;20
"Semana 37";-;-;1;5;1;1;9;2;-;-;-;-;19
"Semana 38";-;2;2;3;5;-;7;4;-;1;-;-;24
"Semana 39";-;1;4;9;5;-;2;4;1;-;-;-;26
"Semana 40";-;1;2;10;7;-;4;4;-;-;-;-;28
"Semana 41";-;-;2;4;3;2;12;3;1;-;1;-;28
"Semana 42";-;-;4;4;-;3;11;6;-;-;2;-;30
"Semana 43";-;2;2;4;1;3;11;10;-;2;-;-;35
"Semana 44";-;1;2;1;3;6;17;15;-;-;-;1;46
"Semana 45";-;-;1;1;5;4;15;12;-;-;1;1;40
"Semana 46";-;-;3;3;5;1;16;8;1;1;-;-;38
"Semana 47";-;1;4;3;7;9;25;12;2;1;2;-;66
"Semana 48";-;1;1;8;5;9;25;17;2;3;1;-;72
"Semana 49";-;2;4;6;4;9;25;16;4;1;2;-;73
"Semana 50";-;1;2;5;4;7;36;22;2;2;3;-;84
"Semana 51";-;2;4;7;10;8;37;29;3;3;3;-;106
"Semana 52";-;4;2;2;4;12;33;17;2;-;-;1;77
